"Start","End","Week Number","Session Time (minutes)","Moving Average","Start Date","End Date"
2019-08-20 08:16:50,2019-08-20 09:01:50,"OMS : Intro to Analytics - W1",45,45,2019-08-20,2019-08-20
2019-08-20 09:20:49,2019-08-20 09:51:34,"OMS : Intro to Analytics - W1",31,38,2019-08-20,2019-08-20
2019-08-20 09:51:42,2019-08-20 10:21:57,"OMS : Intro to Analytics - W1",30,35.3333333333333,2019-08-20,2019-08-20
2019-08-20 10:25:27,2019-08-20 10:36:20,"OMS : Intro to Analytics - W1",11,29.25,2019-08-20,2019-08-20
2019-08-20 11:15:10,2019-08-20 11:43:39,"OMS : Intro to Analytics - W1",28,29,2019-08-20,2019-08-20
2019-08-20 12:41:31,2019-08-20 13:01:53,"OMS : Intro to Analytics - W1",20,27.5,2019-08-20,2019-08-20
2019-08-21 06:40:38,2019-08-21 07:20:38,"OMS : Intro to Analytics - W1",40,29.2857142857143,2019-08-21,2019-08-21
2019-08-21 07:49:29,2019-08-21 08:16:20,"OMS : Intro to Analytics - W1",27,29,2019-08-21,2019-08-21
2019-08-21 08:36:58,2019-08-21 09:08:36,"OMS : Intro to Analytics - W1",32,29.3333333333333,2019-08-21,2019-08-21
2019-08-21 10:01:47,2019-08-21 10:32:18,"OMS : Intro to Analytics - W1",31,29.5,2019-08-21,2019-08-21
2019-08-21 11:21:53,2019-08-21 11:52:16,"OMS : Intro to Analytics - W1",30,29.5454545454545,2019-08-21,2019-08-21
2019-08-21 13:02:14,2019-08-21 13:32:41,"OMS : Intro to Analytics - W1",30,29.5833333333333,2019-08-21,2019-08-21
2019-08-22 09:19:04,2019-08-22 09:59:17,"OMS : Intro to Analytics - W1",40,30.3846153846154,2019-08-22,2019-08-22
2019-08-22 10:15:37,2019-08-22 10:56:02,"OMS : Intro to Analytics - W1",40,31.0714285714286,2019-08-22,2019-08-22
2019-08-22 11:06:26,2019-08-22 11:26:41,"OMS : Intro to Analytics - W1",20,30.3333333333333,2019-08-22,2019-08-22
2019-08-22 12:09:57,2019-08-22 12:41:03,"OMS : Intro to Analytics - W1",31,30.375,2019-08-22,2019-08-22
2019-08-22 17:44:08,2019-08-22 18:14:30,"OMS : Intro to Analytics - W1",30,30.3529411764706,2019-08-22,2019-08-22
2019-08-23 07:01:38,2019-08-23 08:01:53,"OMS : Intro to Analytics - W1",60,32,2019-08-23,2019-08-23
2019-08-23 08:47:53,2019-08-23 09:08:06,"OMS : Intro to Analytics - W1",20,31.3684210526316,2019-08-23,2019-08-23
2019-08-23 11:02:33,2019-08-23 11:42:57,"OMS : Intro to Analytics - W1",40,31.8,2019-08-23,2019-08-23
2019-08-23 13:14:36,2019-08-23 13:55:56,"OMS : Intro to Analytics - W1",41,32.2380952380952,2019-08-23,2019-08-23
2019-08-23 15:11:16,2019-08-23 15:31:16,"OMS : Intro to Analytics - W1",20,31.6818181818182,2019-08-23,2019-08-23
2019-08-24 05:53:25,2019-08-24 06:39:43,"OMS : Intro to Analytics - W1",46,32.304347826087,2019-08-24,2019-08-24
2019-08-24 07:09:06,2019-08-24 07:54:21,"OMS : Intro to Analytics - W1",45,32.8333333333333,2019-08-24,2019-08-24
2019-08-24 08:08:12,2019-08-24 09:08:27,"OMS : Intro to Analytics - W1",60,33.92,2019-08-24,2019-08-24
2019-08-24 09:24:30,2019-08-24 09:54:39,"OMS : Intro to Analytics - W1",30,33.7692307692308,2019-08-24,2019-08-24
2019-08-25 06:07:10,2019-08-25 06:56:49,"OMS : Intro to Analytics - W1",50,34.3703703703704,2019-08-25,2019-08-25
2019-08-25 08:06:57,2019-08-25 08:37:17,"OMS : Intro to Analytics - W1",30,34.2142857142857,2019-08-25,2019-08-25
2019-08-25 08:41:04,2019-08-25 09:01:19,"OMS : Intro to Analytics - W1",20,33.7241379310345,2019-08-25,2019-08-25
2019-08-25 10:04:51,2019-08-25 10:35:07,"OMS : Intro to Analytics - W1",30,33.6,2019-08-25,2019-08-25
2019-08-26 08:41:47,2019-08-26 09:21:47,"OMS : Intro to Analytics - W1",40,33.8064516129032,2019-08-26,2019-08-26
2019-08-26 09:38:15,2019-08-26 10:27:06,"OMS : Intro to Analytics - W1",49,34.28125,2019-08-26,2019-08-26
2019-08-26 10:51:55,2019-08-26 11:39:58,"OMS : Intro to Analytics - W1",48,34.6969696969697,2019-08-26,2019-08-26
2019-08-26 12:06:34,2019-08-26 12:53:41,"OMS : Intro to Analytics - W1",47,35.0588235294118,2019-08-26,2019-08-26
2019-08-26 13:17:25,2019-08-26 14:04:37,"OMS : Intro to Analytics - W1",47,35.4,2019-08-26,2019-08-26
2019-08-26 14:43:53,2019-08-26 16:15:12,"OMS : Intro to Analytics - W1",91,36.9444444444444,2019-08-26,2019-08-26
2019-08-27 06:09:56,2019-08-27 06:40:09,"OMS : Intro to Analytics - W1",30,36.7567567567568,2019-08-27,2019-08-27
2019-08-27 06:40:19,2019-08-27 07:36:13,"OMS : Intro to Analytics - W1",56,37.2631578947368,2019-08-27,2019-08-27
2019-08-27 08:07:49,2019-08-27 08:55:19,"OMS : Intro to Analytics - W1",48,37.5384615384615,2019-08-27,2019-08-27
2019-08-27 09:47:04,2019-08-27 10:32:04,"OMS : Intro to Analytics - W1",45,37.725,2019-08-27,2019-08-27
2019-08-27 10:53:31,2019-08-27 11:53:48,"OMS : Intro to Analytics - W1",60,38.2682926829268,2019-08-27,2019-08-27
2019-08-27 12:10:46,2019-08-27 12:57:36,"OMS : Intro to Analytics - W1",47,38.4761904761905,2019-08-27,2019-08-27
2019-08-27 15:02:32,2019-08-27 15:49:22,"OMS : Intro to Analytics - W1",47,38.6744186046512,2019-08-27,2019-08-27
2019-08-27 15:51:59,2019-08-27 16:10:14,"OMS : Intro to Analytics - W1",18,38.2045454545455,2019-08-27,2019-08-27
2019-08-27 16:11:10,2019-08-27 16:26:43,"OMS : Intro to Analytics - W1",16,37.7111111111111,2019-08-27,2019-08-27
